online,max_stack,code_distance,meas_error,physical_error_rate,error_count,run_count,time_run
bool,float64,int64,bool,float64,int64,int64,int64
True,inf,9,True,0.006,111138,1024000,588
True,inf,9,True,0.006,111489,1024000,590
True,inf,9,True,0.006,111808,1024000,592
True,inf,9,True,0.006,112207,1024000,594
True,inf,9,True,0.006,112566,1024000,596
True,inf,9,True,0.006,112904,1024000,598
True,inf,9,True,0.006,113317,1024000,600
True,inf,9,True,0.006,113641,1024000,602
True,inf,9,True,0.006,114033,1024000,604
True,inf,9,True,0.006,114445,1024000,606
True,inf,9,True,0.006,114795,1024000,608
True,inf,9,True,0.006,115078,1024000,610
True,inf,9,True,0.006,115436,1024000,612
True,inf,9,True,0.006,115815,1024000,614
True,inf,9,True,0.006,116120,1024000,616
True,inf,9,True,0.006,116487,1024000,618
True,inf,9,True,0.006,116843,1024000,620
True,inf,9,True,0.006,117177,1024000,622
True,inf,9,True,0.006,117551,1024000,624
True,inf,9,True,0.006,117864,1024000,626
True,inf,9,True,0.006,118227,1024000,628
True,inf,9,True,0.006,118583,1024000,630
True,inf,9,True,0.006,118981,1024000,632
True,inf,9,True,0.006,119314,1024000,634
True,inf,9,True,0.006,119673,1024000,636
True,inf,9,True,0.006,119994,1024000,638
True,inf,9,True,0.006,120387,1024000,640
True,inf,9,True,0.006,120745,1024000,642
True,inf,9,True,0.006,121126,1024000,644
True,inf,9,True,0.006,121460,1024000,646
True,inf,9,True,0.006,121814,1024000,648
True,inf,9,True,0.006,122156,1024000,650
True,inf,9,True,0.006,122557,1024000,652
True,inf,9,True,0.006,122918,1024000,654
True,inf,9,True,0.006,123311,1024000,656
True,inf,9,True,0.006,123674,1024000,658
True,inf,9,True,0.006,124003,1024000,660
True,inf,9,True,0.006,124337,1024000,662
True,inf,9,True,0.006,124670,1024000,664
True,inf,9,True,0.006,125031,1024000,666
True,inf,9,True,0.006,125429,1024000,668
True,inf,9,True,0.006,125769,1024000,670
True,inf,9,True,0.006,126180,1024000,672
True,inf,9,True,0.006,126513,1024000,674
True,inf,9,True,0.006,126851,1024000,676
True,inf,9,True,0.006,127210,1024000,678
True,inf,9,True,0.006,127497,1024000,680
True,inf,9,True,0.006,127792,1024000,682
True,inf,9,True,0.006,128171,1024000,684
True,inf,9,True,0.006,128502,1024000,686
True,inf,9,True,0.006,128883,1024000,688
True,inf,9,True,0.006,129286,1024000,690
True,inf,9,True,0.006,129638,1024000,692
True,inf,9,True,0.006,129929,1024000,694
True,inf,9,True,0.006,130325,1024000,696
True,inf,9,True,0.006,130663,1024000,698
True,inf,9,True,0.006,130937,1024000,700
True,inf,9,True,0.006,131321,1024000,702
True,inf,9,True,0.006,131637,1024000,704
True,inf,9,True,0.006,132048,1024000,706
True,inf,9,True,0.006,132371,1024000,708
True,inf,9,True,0.006,132756,1024000,710
True,inf,9,True,0.006,133059,1024000,712
True,inf,9,True,0.006,133418,1024000,714
True,inf,9,True,0.006,133747,1024000,716
True,inf,9,True,0.006,134090,1024000,718
True,inf,9,True,0.006,134426,1024000,720
True,inf,9,True,0.006,134771,1024000,722
True,inf,9,True,0.006,135100,1024000,724
True,inf,9,True,0.006,135444,1024000,726
True,inf,9,True,0.006,135807,1024000,728
True,inf,9,True,0.006,136219,1024000,730
True,inf,9,True,0.006,136599,1024000,732
True,inf,9,True,0.006,136916,1024000,734
True,inf,9,True,0.006,137221,1024000,736
True,inf,9,True,0.006,137595,1024000,738
True,inf,9,True,0.006,137943,1024000,740
True,inf,9,True,0.006,138247,1024000,742
True,inf,9,True,0.006,138614,1024000,744
True,inf,9,True,0.006,138906,1024000,746
True,inf,9,True,0.006,139262,1024000,748
True,inf,9,True,0.006,139608,1024000,750
True,inf,9,True,0.006,139901,1024000,752
True,inf,9,True,0.006,140282,1024000,754
True,inf,9,True,0.006,140654,1024000,756
True,inf,9,True,0.006,140996,1024000,758
True,inf,9,True,0.006,141293,1024000,760
True,inf,9,True,0.006,141653,1024000,762
True,inf,9,True,0.006,142005,1024000,764
True,inf,9,True,0.006,142396,1024000,766
True,inf,9,True,0.006,142727,1024000,768
True,inf,9,True,0.006,143048,1024000,770
True,inf,9,True,0.006,143434,1024000,772
True,inf,9,True,0.006,143769,1024000,774
True,inf,9,True,0.006,144076,1024000,776
True,inf,9,True,0.006,144456,1024000,778
True,inf,9,True,0.006,144806,1024000,780
True,inf,9,True,0.006,145120,1024000,782
True,inf,9,True,0.006,145475,1024000,784
True,inf,9,True,0.006,145833,1024000,786
