online,code_distance,meas_error,physical_error_rate,error_count,run_count,time_run
bool,int64,bool,float64,int64,int64,int64
True,35,True,0.006,6682,10240,88000
True,35,True,0.006,6700,10240,89000
True,35,True,0.006,6707,10240,90000
True,35,True,0.006,6736,10240,91000
True,35,True,0.006,6763,10240,92000
True,35,True,0.006,6786,10240,93000
True,35,True,0.006,6798,10240,94000
True,35,True,0.006,6841,10240,95000
True,35,True,0.006,6854,10240,96000
True,35,True,0.006,6886,10240,97000
True,35,True,0.006,6889,10240,98000
True,35,True,0.006,6879,10240,99000
True,50,True,0.006,0,10240,0
True,50,True,0.006,86,10240,1000
True,50,True,0.006,168,10240,2000
True,50,True,0.006,252,10240,3000
True,50,True,0.006,343,10240,4000
True,50,True,0.006,418,10240,5000
True,50,True,0.006,493,10240,6000
True,50,True,0.006,578,10240,7000
True,50,True,0.006,655,10240,8000
True,50,True,0.006,744,10240,9000
True,50,True,0.006,824,10240,10000
True,50,True,0.006,904,10240,11000
True,50,True,0.006,981,10240,12000
True,50,True,0.006,1044,10240,13000
True,50,True,0.006,1108,10240,14000
True,50,True,0.006,1185,10240,15000
True,50,True,0.006,1262,10240,16000
True,50,True,0.006,1327,10240,17000
True,50,True,0.006,1396,10240,18000
True,50,True,0.006,1467,10240,19000
True,50,True,0.006,1546,10240,20000
True,50,True,0.006,1650,10240,21000
True,50,True,0.006,1696,10240,22000
True,50,True,0.006,1770,10240,23000
True,50,True,0.006,1825,10240,24000
True,50,True,0.006,1898,10240,25000
True,50,True,0.006,1986,10240,26000
True,50,True,0.006,2064,10240,27000
True,50,True,0.006,2143,10240,28000
True,50,True,0.006,2227,10240,29000
True,50,True,0.006,2279,10240,30000
True,50,True,0.006,2327,10240,31000
True,50,True,0.006,2404,10240,32000
True,50,True,0.006,2456,10240,33000
True,50,True,0.006,2527,10240,34000
True,50,True,0.006,2589,10240,35000
True,50,True,0.006,2643,10240,36000
True,50,True,0.006,2704,10240,37000
True,50,True,0.006,2755,10240,38000
True,50,True,0.006,2814,10240,39000
True,50,True,0.006,2874,10240,40000
True,50,True,0.006,2930,10240,41000
True,50,True,0.006,2989,10240,42000
True,50,True,0.006,3053,10240,43000
True,50,True,0.006,3095,10240,44000
True,50,True,0.006,3146,10240,45000
True,50,True,0.006,3198,10240,46000
True,50,True,0.006,3262,10240,47000
True,50,True,0.006,3314,10240,48000
True,50,True,0.006,3360,10240,49000
True,50,True,0.006,3415,10240,50000
True,50,True,0.006,3474,10240,51000
True,50,True,0.006,3537,10240,52000
True,50,True,0.006,3578,10240,53000
True,50,True,0.006,3620,10240,54000
True,50,True,0.006,3683,10240,55000
True,50,True,0.006,3728,10240,56000
True,50,True,0.006,3762,10240,57000
True,50,True,0.006,3789,10240,58000
True,50,True,0.006,3829,10240,59000
True,50,True,0.006,3862,10240,60000
True,50,True,0.006,3899,10240,61000
True,50,True,0.006,3939,10240,62000
True,50,True,0.006,3981,10240,63000
True,50,True,0.006,4027,10240,64000
True,50,True,0.006,4069,10240,65000
True,50,True,0.006,4120,10240,66000
True,50,True,0.006,4152,10240,67000
True,50,True,0.006,4201,10240,68000
True,50,True,0.006,4251,10240,69000
True,50,True,0.006,4292,10240,70000
True,50,True,0.006,4328,10240,71000
True,50,True,0.006,4365,10240,72000
True,50,True,0.006,4415,10240,73000
True,50,True,0.006,4460,10240,74000
True,50,True,0.006,4483,10240,75000
True,50,True,0.006,4530,10240,76000
True,50,True,0.006,4564,10240,77000
True,50,True,0.006,4609,10240,78000
True,50,True,0.006,4646,10240,79000
True,50,True,0.006,4684,10240,80000
True,50,True,0.006,4732,10240,81000
True,50,True,0.006,4761,10240,82000
True,50,True,0.006,4781,10240,83000
True,50,True,0.006,4817,10240,84000
True,50,True,0.006,4856,10240,85000
True,50,True,0.006,4901,10240,86000
True,50,True,0.006,4950,10240,87000
True,50,True,0.006,4991,10240,88000
True,50,True,0.006,5017,10240,89000
True,50,True,0.006,5056,10240,90000
True,50,True,0.006,5092,10240,91000
True,50,True,0.006,5127,10240,92000
True,50,True,0.006,5159,10240,93000
True,50,True,0.006,5202,10240,94000
True,50,True,0.006,5225,10240,95000
True,50,True,0.006,5253,10240,96000
True,50,True,0.006,5298,10240,97000
True,50,True,0.006,5326,10240,98000
True,50,True,0.006,5354,10240,99000
True,100,True,0.006,0,10240,0
True,100,True,0.006,10,10240,1000
True,100,True,0.006,31,10240,2000
True,100,True,0.006,64,10240,3000
True,100,True,0.006,92,10240,4000
True,100,True,0.006,124,10240,5000
True,100,True,0.006,151,10240,6000
True,100,True,0.006,182,10240,7000
True,100,True,0.006,206,10240,8000
True,100,True,0.006,236,10240,9000
True,100,True,0.006,250,10240,10000
True,100,True,0.006,288,10240,11000
True,100,True,0.006,304,10240,12000
True,100,True,0.006,324,10240,13000
True,100,True,0.006,336,10240,14000
True,100,True,0.006,365,10240,15000
True,100,True,0.006,383,10240,16000
True,100,True,0.006,410,10240,17000
True,100,True,0.006,425,10240,18000
True,100,True,0.006,447,10240,19000
True,100,True,0.006,468,10240,20000
True,100,True,0.006,486,10240,21000
True,100,True,0.006,511,10240,22000
True,100,True,0.006,542,10240,23000
True,100,True,0.006,562,10240,24000
True,100,True,0.006,588,10240,25000
True,100,True,0.006,603,10240,26000
True,100,True,0.006,628,10240,27000
True,100,True,0.006,650,10240,28000
True,100,True,0.006,682,10240,29000
True,100,True,0.006,716,10240,30000
True,100,True,0.006,736,10240,31000
True,100,True,0.006,754,10240,32000
True,100,True,0.006,775,10240,33000
True,100,True,0.006,788,10240,34000
True,100,True,0.006,811,10240,35000
True,100,True,0.006,829,10240,36000
True,100,True,0.006,853,10240,37000
True,100,True,0.006,877,10240,38000
True,100,True,0.006,893,10240,39000
True,100,True,0.006,924,10240,40000
True,100,True,0.006,946,10240,41000
True,100,True,0.006,967,10240,42000
True,100,True,0.006,984,10240,43000
True,100,True,0.006,1004,10240,44000
True,100,True,0.006,1030,10240,45000
True,100,True,0.006,1038,10240,46000
True,100,True,0.006,1059,10240,47000
True,100,True,0.006,1079,10240,48000
True,100,True,0.006,1100,10240,49000
True,100,True,0.006,1120,10240,50000
True,100,True,0.006,1149,10240,51000
True,100,True,0.006,1163,10240,52000
True,100,True,0.006,1179,10240,53000
True,100,True,0.006,1190,10240,54000
True,100,True,0.006,1208,10240,55000
True,100,True,0.006,1229,10240,56000
True,100,True,0.006,1261,10240,57000
True,100,True,0.006,1274,10240,58000
True,100,True,0.006,1308,10240,59000
True,100,True,0.006,1340,10240,60000
True,100,True,0.006,1362,10240,61000
True,100,True,0.006,1375,10240,62000
True,100,True,0.006,1381,10240,63000
True,100,True,0.006,1406,10240,64000
True,100,True,0.006,1417,10240,65000
True,100,True,0.006,1445,10240,66000
True,100,True,0.006,1468,10240,67000
True,100,True,0.006,1484,10240,68000
True,100,True,0.006,1508,10240,69000
True,100,True,0.006,1528,10240,70000
True,100,True,0.006,1540,10240,71000
True,100,True,0.006,1563,10240,72000
True,100,True,0.006,1584,10240,73000
True,100,True,0.006,1599,10240,74000
True,100,True,0.006,1615,10240,75000
True,100,True,0.006,1638,10240,76000
True,100,True,0.006,1659,10240,77000
True,100,True,0.006,1675,10240,78000
True,100,True,0.006,1691,10240,79000
True,100,True,0.006,1703,10240,80000
True,100,True,0.006,1719,10240,81000
True,100,True,0.006,1746,10240,82000
